channel_elevation,channel_slope_r,channel_curvature,channel_dist_along,channel_dist_to_river_center,ridge1_elevation,ridge1_slope_r,ridge1_curvature,ridge1_dist_along,ridge1_dist_to_river_center,floodplain1_elevation,floodplain1_slope_r,floodplain1_curvature,floodplain1_dist_along,floodplain1_dist_to_river_center,ridge2_elevation,ridge2_slope_r,ridge2_curvature,ridge2_dist_along,ridge2_dist_to_river_center,floodplain2_elevation,floodplain2_slope_r,floodplain2_curvature,floodplain2_dist_along,floodplain2_dist_to_river_center,width,width_var,sinuosity,max_width,dist_out,n_chan_mod,n_chan_max,facc,meand_len,type,reach_id,node_id,slope,discharge_uncorrected,corrected_discharge,XGB_depth,superelevation1,superelevation2,superelevation_mean,ridge1_slope,ridge2_slope,ridge1_height,ridge2_height,ridge_height_mean,ridge_slope_mean,ridge_width,gamma1,gamma2,gamma_mean,lambda
421.5,0.0,0.0,9809.999999999814,10.045161290174292,439.13,0.0236666666666458,0.0004555555555586,8579.999999999975,1219.9548387096656,438.41,0.0023333333333329,3.333333333244371e-05,7949.999999999864,1849.9548387097768,432.0,0.0009999999999867,-0.000122222222221,12180.000000000044,2380.0451612904035,429.52,0.010666666666658,4.139165861909131e-15,12870.0000000002,3070.04516129056,329.0,274.916666666667,1.06913857321642,1370.0,4672730,2,2,33129.1279334507,3077.43278155677,1,62269900581,62269900580531,0.0010321108356562002,356.765,1841.2833400463242,1.6668133,0.4319620078123197,1.4878691380202842,0.9599155729163019,8.391608391608072e-05,0.0002036124794745492,0.7199999999999704,2.480000000000018,1.5999999999999943,0.00014376428169531497,4920.0000000003365,0.08130530270300686,0.1972777268103144,0.13929151475666063,0.13370809419001942
421.0,0.0,0.0,6509.999999999993,10.191096774264224,433.82,0.0153333333333033,0.0001555555555543,4559.99999999963,1939.808903226099,431.71,0.0023333333333318,4.444444444435788e-05,840.0000000000074,5659.808903225721,440.4,0.0059999999999946,7.777777777776834e-05,12300.000000000096,5800.191096774368,438.87,0.0019999999999963,-1.1111111111162987e-05,13080.000000000073,6580.191096774344,242.0,872.489795918367,1.0835608220667,1370.0,4670709,2,3,33280.1521128055,1891.20653246064,1,62269900581,62269900580431,0.0010321108356562002,356.765,1841.2833400463242,1.9560822,1.0786867613227527,0.7821757084472851,0.9304312348850189,0.00046271929824565457,0.00012439024390243584,2.1100000000000136,1.5299999999999727,1.8199999999999932,0.00029355477107404523,12240.000000000065,0.44832326360711516,0.12052023833598301,0.2844217509715491,0.26463488098461774
418.0,0.0,0.0,6989.9999999995935,11.223999999302578,430.91,0.0050000000000107,0.0001222222222224,5279.999999999892,1698.776000000399,430.24,0.0,0.0,4139.999999999807,2838.776000000484,429.95,0.0060000000000522,-0.0001333333333334,9749.999999999987,2771.2239999996964,426.94,0.0160000000000374,0.0005333333333358,11429.999999999973,4451.223999999682,217.0,6969.55555555555,1.03969912293041,217.0,4666675,1,1,33572.6116347306,2765.63323487938,1,62269900581,62269900580231,0.0010321108356562002,356.765,1841.2833400463242,2.041783,0.3281445525901427,1.4742016467109,0.9011730996505214,0.000126893939393945,0.0003087179487179482,0.6700000000000159,3.009999999999991,1.8400000000000034,0.0002178059440559466,7290.0000000001655,0.122946039330425,0.29911317472185056,0.21102960702613777,0.19017420508177602
416.5,0.0,0.0,5309.999999999865,1.5682580643679105,427.17,0.0220000000002717,-3.333333333237995e-05,4949.999999999652,358.4317419358458,423.43,0.0003333333333371,1.111111111137655e-05,4109.999999999721,1198.4317419357767,428.06,0.0093333333334497,0.0002111111111193,8550.000000000018,3241.5682580645207,427.31,0.0016666666666365,-1.7044597793042844e-15,8820.00000000043,3511.568258064932,169.0,384.888888888889,1.01774377479925,1370.0,4664638,2,2,33728.4302324775,2490.91096959959,1,62269900581,62269900580131,0.0010321108356562002,356.765,1841.2833400463242,3.2658558,1.1451822252487838,0.22964884196165394,0.6874155336052189,0.0007555555555556106,8.771929824561385e-05,3.740000000000009,0.75,2.2450000000000045,0.00042163742690061223,4710.0000000007085,0.7320488550778949,0.084990192153,0.4085195236154474,0.2808226663142626
412.5,0.0,0.0,11070.000000000196,8.284774193671183,422.36,0.0123333333333873,0.0003000000000043,11850.000000000096,788.2847741935711,416.16,0.0010000000000033,-3.333333333261029e-05,12930.000000000107,1868.284774193582,415.6,0.004000000000018,-1.1111111108914837e-05,10560.000000000058,501.7152258064671,415.25,0.0013333333333398,1.111111111172148e-05,10020.000000000056,1041.7152258064689,375.0,106.25,1.07258437877047,975.0,4658210,2,3,34195.8860257184,5787.64694507734,1,62269900571,62269900570521,0.0007557585224611971,350.499,1806.1780619558533,1.1664032,5.315486219580574,0.3000677704602137,2.8077769950203937,0.0005232067510548471,3.314393939394136e-05,6.199999999999989,0.35000000000002274,3.2750000000000057,0.00027817534522439424,2910.000000000051,0.6922935507905041,0.04385519767081829,0.3680743742306612,1.0334707604213778
410.5,0.0,0.0,5670.000000000154,9.33432258081666,422.45,0.0113333333332524,0.0002777777777726,6300.00000000011,639.334322580773,414.08,0.0003333333333294,-1.1111111111286947e-05,8880.000000000106,3219.3343225807685,422.27,0.0,-3.3333333333104955e-05,2880.0000000000937,2780.665677419244,419.48,0.0030000000000133,-4.2583124526742393e-16,809.9999999998087,4850.665677419528,180.0,497.551020408163,1.01994195780861,975.0,4656222,2,2,34351.7046234654,1049.52748178911,1,62269900571,62269900570421,0.0007557585224611971,350.499,1806.1780619558533,2.9112096,2.8750935858635756,0.9583645286211788,1.9167290572423772,0.0013285714285714062,0.0009687499999999559,8.370000000000005,2.7899999999999636,5.579999999999984,0.001148660714285681,8070.0000000002965,1.7579311236144466,1.2818247776354972,1.5198779506249718,2.9131942314248787
409.0,0.0,0.0,6389.9999999999645,4.776903225846581,422.71,0.0,-4.444444444434205e-05,5400.000000000123,994.7769032256884,419.45,0.0003333333333355,-1.111111111092079e-05,3480.0,2914.776903225811,419.66,0.0029999999999745,9.999999999826487e-05,9840.00000000021,3445.223096774398,416.05,0.0186666666665026,-0.0010888888888974,11970.0000000002,5575.223096774389,237.0,1225.95918367347,1.01293882549209,975.0,4654215,2,2,34505.1260120162,2589.43104838794,1,62269900571,62269900570321,0.0007557585224611971,350.499,1806.1780619558533,1.9560822,1.6665966075412992,1.845525691173046,1.7560611493571727,0.0006037037037036883,0.00036686991869918056,3.259999999999991,3.6100000000000136,3.4350000000000023,0.00048528681120143445,8490.0000000002,0.7988050227176688,0.4854327246015499,0.6421188736596094,1.1276000073026269
408.75,0.0583333333335349,0.0019444444444578,13320.000000000156,4.915483871247488,423.93,0.0159999999997716,0.0002777777777653,10980.000000000126,2335.0845161287834,419.47,0.0026666666666754,-4.4444444442400265e-05,7800.000000000058,5515.084516128851,420.13,0.0050000000000804,4.44444444474121e-05,16079.999999999549,2764.91548387064,415.35,0.0123333333333768,0.0002777777777797,17159.9999999998,3844.915483870891,433.0,2812.13888888889,1.09566812201203,975.0,4652227,2,3,34653.7529821749,4371.0063170974,1,62269900571,62269900570221,0.0007557585224611971,350.499,1806.1780619558533,0.8735108,5.1058328215084785,5.472170602423879,5.289001711966179,0.00040619307832421935,0.00029726368159204645,4.4599999999999795,4.779999999999973,4.619999999999976,0.0003517283799581329,9359.999999999742,0.5374641056000458,0.39333156392862095,0.4653978347643334,2.4614899448139123
405.5,0.0,0.0,6600.000000000164,8.118709677417428,414.5,0.0,-8.88888888894479e-05,5910.000000000282,698.1187096772992,408.49,0.0003333333333295,-3.33333333326118e-05,5220.0000000004,1388.118709677181,419.07,0.0033333333332976,0.0001111111111087,8370.000000000335,1761.8812903227536,417.88,0.0,-4.444444444442407e-05,8819.999999999955,2211.8812903223734,220.0,564.0,1.03232659207652,220.0,4650194,1,2,34792.7911155491,1385.20756958727,1,62269900571,62269900570121,0.0007557585224611971,350.499,1806.1780619558533,2.041783,2.9435056135323996,0.5828239068391937,1.7631647601857967,0.0010169204737732157,0.00014217443249700719,6.009999999999991,1.1899999999999977,3.5999999999999943,0.0005795474531351114,3599.9999999995543,1.3455626943663443,0.18812150742806458,0.7668421008972045,1.3520689689287921
404.0,0.0,0.0,10019.999999999523,0.9480000002658926,413.59,0.0526666666667906,0.0004555555555537,10470.000000000196,449.05200000040713,412.69,0.0016666666666253,-2.222222222345644e-05,12180.000000000346,2159.0520000005563,413.82,0.0023333333333457,4.444444444498509e-05,3870.000000000113,6150.9479999996765,407.95,0.0006666666666715,1.1111111111221346e-05,389.9999999999856,9630.947999999804,326.0,344.222222222222,1.07983430567548,326.0,4648206,1,2,34943.8152949038,1206.47214675562,1,62269900571,62269900570021,0.0007557585224611971,350.499,1806.1780619558533,1.6668133,0.5399525097654081,3.521690258136698,2.0308213839510527,8.59598853868157e-05,0.0015167958656330319,0.8999999999999773,5.8700000000000045,3.384999999999991,0.0008013778755099238,11790.00000000036,0.11373988229319523,2.0069847981249973,1.0603623402090963,2.153406515233014
